loan_id,customer_id,product,currency,sanctioned_amount,outstanding,interest_rate,tenure_months,start_date,status,days_past_due,collateral_value,limit_amount
LN100141B,100141,PERSONAL,USD,19776,10292,14.8,24,2021-06-11,CURRENT,0,0,19776
LN100106C,100106,PERSONAL,INR,715905,479718,11.9,24,2023-10-27,CURRENT,0,0,715905
LN100193D,100193,PERSONAL,INR,658851,587168,12.1,18,2022-11-23,CURRENT,0,0,658851
LN100178E,100178,PERSONAL,INR,79751,55511,11.7,12,2024-08-26,CURRENT,0,0,79751
LN100100F,100100,PERSONAL,INR,649929,0,13.7,36,2024-07-08,CLOSED,0,0,649929
LN100120G,100120,PERSONAL,INR,723088,550265,13.2,24,2022-09-02,CURRENT,0,0,723088
LN100203H,100203,PERSONAL,INR,772063,485369,12.1,12,2022-11-28,CURRENT,0,0,772063
LN100176I,100176,PERSONAL,INR,377766,353296,14.1,24,2021-09-25,CURRENT,0,0,377766
LN100126J,100126,PERSONAL,INR,161341,105937,12.3,24,2021-07-18,PAST_DUE,45,0,161341
LN100170K,100170,HOME,INR,5722482,5445016,8.6,300,2025-01-16,PAST_DUE,30,8275412,5722482
LN100142L,100142,PERSONAL,INR,217082,190477,15.0,36,2023-10-16,CURRENT,0,0,217082
LN100161M,100161,HOME,INR,5798754,2205406,9.7,300,2023-10-11,CURRENT,0,6877657,5798754
LN100213N,100213,PERSONAL,INR,736041,0,12.5,36,2021-08-09,CLOSED,0,0,736041
LN100128O,100128,BUSINESS,INR,3018559,2089352,12.7,60,2022-02-03,CURRENT,0,2061581,3018559
LN100138P,100138,PERSONAL,INR,352620,239751,12.9,12,2025-08-18,CURRENT,0,0,352620
LN100151Q,100151,PERSONAL,INR,763449,0,12.0,12,2023-02-04,CLOSED,0,0,763449
LN100181R,100181,PERSONAL,INR,405556,293053,14.1,24,2021-03-24,PAST_DUE,60,0,405556
LN100218S,100218,HOME,INR,3649544,2226608,9.5,240,2024-06-09,PAST_DUE,60,4772629,3649544
LN100121T,100121,BUSINESS,INR,4096341,2637666,12.1,60,2024-02-27,CURRENT,0,3087238,4096341
LN100194U,100194,PERSONAL,INR,67445,0,12.7,24,2023-05-04,CLOSED,0,0,67445
LN100148V,100148,PERSONAL,INR,771466,684019,13.6,12,2025-05-09,PAST_DUE,90,0,771466
LN100102W,100102,PERSONAL,INR,288596,248223,13.5,12,2025-05-06,PAST_DUE,90,0,288596
LN100160X,100160,PERSONAL,INR,204954,85248,11.6,18,2021-02-08,CURRENT,0,0,204954
LN100196Y,100196,PERSONAL,INR,483020,435835,12.9,18,2025-02-15,CURRENT,0,0,483020
LN100124Z,100124,PERSONAL,INR,790058,749665,13.3,18,2023-09-07,CURRENT,0,0,790058
LN100113A,100113,PERSONAL,USD,39939,34770,13.4,24,2024-10-26,CURRENT,0,0,39939
LN100215B,100215,PERSONAL,INR,776991,520562,13.6,24,2022-09-04,PAST_DUE,15,0,776991
LN100143C,100143,PERSONAL,INR,362071,232957,14.0,24,2023-09-10,CURRENT,0,0,362071
LN100137D,100137,BUSINESS,INR,3093928,2902402,10.4,60,2025-08-04,CURRENT,0,2593674,3093928
LN100168E,100168,BUSINESS,INR,2028730,0,10.1,60,2023-06-25,CLOSED,0,1983401,2028730
LN100159F,100159,PERSONAL,INR,552351,502536,12.2,18,2024-11-26,CURRENT,0,0,552351
LN100158G,100158,PERSONAL,INR,164532,110010,12.3,18,2024-07-30,CURRENT,0,0,164532
LN100206H,100206,PERSONAL,INR,155065,117650,12.7,36,2021-10-09,CURRENT,0,0,155065
LN100105I,100105,HOME,INR,7116691,4529554,8.9,180,2022-02-13,CURRENT,0,10490093,7116691
LN100153J,100153,PERSONAL,INR,351198,0,12.5,24,2025-04-24,CLOSED,0,0,351198
LN100139K,100139,BUSINESS,INR,5616179,5042979,11.9,48,2021-12-25,CURRENT,0,4838668,5616179
LN100129L,100129,PERSONAL,INR,234327,151663,15.0,12,2025-03-14,CURRENT,0,0,234327
LN100152M,100152,PERSONAL,INR,353528,146495,11.5,12,2022-11-18,CURRENT,0,0,353528
LN100175N,100175,PERSONAL,INR,722464,542750,14.6,36,2022-01-30,PAST_DUE,60,0,722464
LN100174O,100174,PERSONAL,INR,531206,0,14.0,24,2022-11-22,CLOSED,0,0,531206
LN100211P,100211,PERSONAL,INR,252544,149832,13.6,18,2023-05-26,CURRENT,0,0,252544
LN100101Q,100101,HOME,INR,3300148,1168576,9.8,180,2023-02-25,CURRENT,0,4260430,3300148
LN100188R,100188,PERSONAL,INR,329963,117751,12.6,24,2024-08-31,CURRENT,0,0,329963
LN100207S,100207,PERSONAL,INR,297781,132759,13.8,12,2024-11-06,CURRENT,0,0,297781
LN100184T,100184,PERSONAL,INR,787733,720288,13.9,24,2023-01-23,CURRENT,0,0,787733
LN100112U,100112,PERSONAL,INR,190057,135594,12.0,36,2023-05-02,CURRENT,0,0,190057
LN100107V,100107,PERSONAL,INR,543699,384660,14.2,18,2025-06-01,CURRENT,0,0,543699
LN100187W,100187,HOME,INR,6247593,0,8.3,240,2024-01-27,CLOSED,0,8282230,6247593
LN100132X,100132,PERSONAL,INR,612728,376891,12.1,18,2024-10-25,CURRENT,0,0,612728
LN100185Y,100185,BUSINESS,INR,5691797,3540635,10.3,84,2023-11-18,CURRENT,0,4298374,5691797
LN100192Z,100192,PERSONAL,INR,641303,343034,13.5,12,2021-02-14,CURRENT,0,0,641303
LN100190A,100190,PERSONAL,INR,53161,0,13.5,18,2022-12-07,CLOSED,0,0,53161
LN100165B,100165,PERSONAL,INR,617451,0,14.8,12,2023-08-25,CLOSED,0,0,617451
LN100164C,100164,HOME,INR,5929824,4373414,9.4,180,2023-05-11,CURRENT,0,8339295,5929824
LN100155D,100155,PERSONAL,INR,520325,388722,12.8,36,2024-01-10,CURRENT,0,0,520325
LN100145E,100145,HOME,INR,5417305,4261874,8.5,120,2022-04-02,CURRENT,0,7123232,5417305
LN100110F,100110,PERSONAL,INR,73839,44633,13.1,24,2023-02-16,CURRENT,0,0,73839
LN100154G,100154,PERSONAL,INR,412974,324190,12.5,18,2021-08-20,CURRENT,0,0,412974
LN100204H,100204,HOME,INR,6016845,3717595,8.6,120,2024-10-08,CURRENT,0,6780481,6016845
LN100169I,100169,PERSONAL,USD,7899,6339,13.0,36,2025-05-09,CURRENT,0,0,7899
LN100118J,100118,HOME,INR,6726984,4685242,8.6,240,2025-05-02,CURRENT,0,9865517,6726984
LN100134K,100134,PERSONAL,INR,386241,299003,12.6,18,2023-04-27,PAST_DUE,90,0,386241
LN100189L,100189,PERSONAL,INR,113918,73747,13.7,18,2022-12-07,CURRENT,0,0,113918
LN100214M,100214,PERSONAL,INR,753953,452217,14.3,36,2021-11-02,CURRENT,0,0,753953
LN100144N,100144,PERSONAL,INR,242811,148617,12.3,36,2023-08-07,PAST_DUE,90,0,242811
LN100191O,100191,PERSONAL,INR,639704,275364,14.9,36,2022-05-13,CURRENT,0,0,639704
LN100111P,100111,PERSONAL,INR,396305,160693,14.7,12,2025-01-23,CURRENT,0,0,396305
LN100212Q,100212,PERSONAL,INR,104040,38882,12.8,24,2021-05-30,CURRENT,0,0,104040
LN100122R,100122,PERSONAL,INR,666126,366221,13.2,18,2021-02-01,CURRENT,0,0,666126
LN100205S,100205,BUSINESS,INR,2394034,1837123,12.6,36,2024-12-12,CURRENT,0,2099963,2394034
LN100198T,100198,PERSONAL,INR,300956,201697,14.2,24,2023-01-06,CURRENT,0,0,300956
LN100195U,100195,PERSONAL,INR,427114,334621,13.1,36,2025-04-09,CURRENT,0,0,427114
LN100180V,100180,PERSONAL,INR,438712,211794,12.9,24,2021-10-26,CURRENT,0,0,438712
LN100125W,100125,HOME,INR,7141513,6486964,8.7,300,2023-10-20,PAST_DUE,60,8416106,7141513
LN100162X,100162,PERSONAL,INR,768113,714272,12.4,24,2024-08-07,CURRENT,0,0,768113
LN100136Y,100136,PERSONAL,INR,419283,193049,12.0,18,2024-01-16,CURRENT,0,0,419283
LN100127Z,100127,PERSONAL,INR,127941,109456,14.2,12,2022-04-19,CURRENT,0,0,127941
LN100202A,100202,HOME,INR,3766928,0,8.5,120,2024-07-30,CLOSED,0,4830723,3766928
LN100179B,100179,PERSONAL,INR,696467,0,13.8,36,2023-12-26,CLOSED,0,0,696467
LN100133C,100133,PERSONAL,INR,62426,34794,13.4,12,2025-07-24,PAST_DUE,30,0,62426
LN100115D,100115,PERSONAL,INR,501488,0,11.9,18,2021-11-01,CLOSED,0,0,501488
LN100171E,100171,PERSONAL,INR,699887,408718,14.4,24,2023-04-12,PAST_DUE,45,0,699887
